StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q3_7_TEXT,Q4_1,Q5,Q6,Q7,Q7_7_TEXT,Q8,Q9_1,Q10_1,Q17,Q11,Q12,Q13_1,Q15,Q14,Q14_1_TEXT,Q14_2_TEXT,Q16,Q16_3_TEXT,Q_DataPolicyViolations
1/21/2026 18:48,1/21/2026 18:50,IP Address,174.27.160.237,100,111,True,1/21/2026 18:50,R_114DqwjOuAZYE9v,,,,,43.6138,-116.3972,anonymous,EN,Yes,,,10,A couple of times per month,No,"I didn't know it was there,I didn't need help,I wasn't sure how to use it",,,8,8,,,,,,,,,,,
1/22/2026 14:48,1/22/2026 14:49,IP Address,198.163.185.86,100,61,True,1/22/2026 14:49,R_7n6AUoQm50BDjWs,,,,,60.4878,-151.0583,anonymous,EN,No,Other,,,,,,,,,,,no comment,no comment,1,,I prefer Slack because...,It's better,,,,
1/24/2026 8:53,1/24/2026 8:55,IP Address,24.0.219.39,100,113,True,1/24/2026 8:55,R_6kXjELla0nxeSvu,,,,,40.3334,-74.6004,anonymous,EN,Yes,,,6,Once a week,Yes,,,No,9,8,,,"InScribe seems less active than Slack was, but that may improve over time.",5,,I prefer Slack because...,It was more active.,,,,
1/24/2026 19:07,1/24/2026 19:08,IP Address,172.225.198.52,100,20,True,1/24/2026 19:08,R_54f3zGxsc25wIKO,,,,,39.6511,-104.9921,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,
1/25/2026 20:03,1/25/2026 20:08,IP Address,172.56.182.64,100,352,True,1/25/2026 20:09,R_3donHmK8gRmll1X,,,,,34.0772,-117.4506,anonymous,EN,Yes,,,3,A couple of times per month,No,"I wasn't sure how to use it,Other",It's still too new of a system for me,,5,3,,Transferring popular information from the previous Slack channels. I felt there was a wealth of information that accumulated over the years that helped us navigate our learning and troubleshoot common issues as we progressed through the courses.,"It would be nice to have some niche topics to help us engage with others. Or possibly even having a ""Data Science in Today's World"" type of discussion/group.",5,,I prefer Slack because...,It had accumulated several years of Q&A discussion and easier to navigate,,,,
1/26/2026 3:13,1/26/2026 3:17,IP Address,73.35.135.13,100,199,True,1/26/2026 3:17,R_5t5OtjKQlBlD3Fi,,,,,47.5579,-122.1633,anonymous,EN,Yes,,,3,A few times a week,Yes,,,,7,7,,,,4,,I prefer Slack because...,1) It contained a longer history of responses; 2) it had had an offline client; 3) Searching was easier,,,,
1/26/2026 7:44,1/26/2026 7:47,IP Address,153.199.86.95,100,154,True,1/26/2026 7:47,R_9MoG3dGwRdt3Izf,,,,,35.6837,139.6805,anonymous,EN,Yes,,,5,Less than once a month,No,"I wasn't sure how to use it,I didn't have time",,,4,3,,,,5,,,,,,,
1/26/2026 10:54,1/26/2026 11:01,IP Address,77.25.33.66,100,431,True,1/26/2026 11:01,R_8QEMhcIHM3scvA8,,,,,52.4112,9.6491,anonymous,EN,Yes,,,6,A few times a week,No,I didn't need help,,,4,5,,Create sub-channels for each specialization. Not just one channel for the entire specialization. ,,7,,I prefer Slack because...,It is easier to find relevant information.,,,,
1/26/2026 14:31,1/26/2026 14:32,IP Address,172.56.80.231,100,34,True,1/26/2026 14:32,R_63g36iPwLSB10T9,,,,,33.4889,-112.2173,anonymous,EN,Yes,,,,Hardly ever,No,"I didn't need help,I wasn't sure how to use it",,,,,,,,,,,,,,,
1/27/2026 12:08,1/27/2026 12:10,IP Address,201.110.128.101,100,118,True,1/27/2026 12:10,R_9OCrI26zyQum2Ml,,,,,19.5237,-99.2161,anonymous,EN,Yes,,,9,Hardly ever,No,I didn't need help,,,10,10,,,,8,,I prefer Slack because...,"it has emojis, the format is more chat-friendly, it has an app.",,,,
1/27/2026 21:59,1/27/2026 22:00,IP Address,76.106.17.19,100,44,True,1/27/2026 22:00,R_7hAjOEyOERuqZBT,,,,,38.8155,-77.1205,anonymous,EN,No,I wasn't sure how to use it,,,,,,,,,,,N/A,No,6,,I prefer Slack because...,I am more familiar with it,,,,
1/27/2026 22:00,1/27/2026 22:01,IP Address,76.106.17.19,100,34,True,1/27/2026 22:01,R_5OeOi54ekiiFsmG,,,,,38.8155,-77.1205,anonymous,EN,No,I wasn't sure how to use it,,,,,,,,,,,N/A,No,6,,I prefer Slack because...,I am more familiar with it,,,,
1/28/2026 4:58,1/28/2026 4:59,IP Address,59.125.75.115,100,103,True,1/28/2026 4:59,R_4gqLxuV4RFyaiVB,,,,,24.144,120.6844,anonymous,EN,Yes,,,7,A few times a week,No,I didn't have time,,,8,6,,,,9,,I prefer Slack because...,,,,,
1/28/2026 11:47,1/28/2026 11:51,IP Address,50.214.63.98,100,245,True,1/28/2026 11:51,R_6p6k2mg5XRA3ZLl,,,,,47.5415,-122.393,anonymous,EN,Yes,,,2,Once a day,No,I was uncomfortable posting a question,,,4,4,,"The benefit of slack is that we have the entire back history of questions people have already asked about classes, and I have found that history to be utterly invaluable. If you could move that content to InScribe it would be a much more helpful platform.",Please do not remove access to the slack backlog unless you also port the chat histories over to InScribe. The information available from past questions posted to slack is the most useful tool I have in this program.,2,,I prefer Slack because...,It has the previous history available and feels like a more casual and accepting place to ask questions,,,,
1/28/2026 19:54,1/28/2026 19:55,IP Address,70.176.205.37,100,55,True,1/28/2026 19:55,R_1PTX9xpTh9yCaNW,,,,,33.3908,-111.9184,anonymous,EN,Yes,,,3,Once a month,No,I didn't need help,,,7,4,,,,,,I prefer InScribe because...,,I use Slack for work; it's nice to have a separate place for class.,,,
1/29/2026 5:13,1/29/2026 5:21,IP Address,4.189.106.173,100,442,True,1/29/2026 5:21,R_9rMzBtEW6eUVAnS,,,,,35.6893,139.6899,anonymous,EN,Yes,,,1,A couple of times per month,No,Other,Feeling disconnected and the overall experience has been quite disappointing.,,10,10,,"Honestly, since switching to Inscribe this semester, I feel our experience has dropped from an 80 to a 20. It feels disconnected, and the new platform seems like technology from 20 years ago. Also, I’m not sure if the school respects us—why aren’t MS-CS or MS-AI students given the chance to try this platform?","I think we should switch back to Slack immediately, unless the Program team believes that using InScribe can improve student conversion rates. However, based on my experience, InScribe makes people feel more disconnected. This semester, I was supposed to enroll in four courses, but I've only registered for one so far, and my progress has been slow.",1,,I prefer Slack because...,"The design is more focused, and the discussion is simpler.",,,,
1/29/2026 8:04,1/29/2026 8:06,IP Address,73.48.3.179,100,98,True,1/29/2026 8:06,R_34EIkY1yydkSDXX,,,,,39.0944,-94.4099,anonymous,EN,No,"I didn't know it was there,It wasn't useful,I wasn't sure how to use it",,,,,,,,,,,Make is flow like slack. slack was more engaging.,,2,,I prefer Slack because...,very engaging and higher participants,,,,
1/29/2026 11:46,1/29/2026 11:47,IP Address,70.54.127.137,100,46,True,1/29/2026 11:47,R_5MGrdYtDXgV8kuo,,,,,43.7522,-79.3294,anonymous,EN,No,"It wasn't useful,I was not comfortable using it",,,,,,,,,,,,,,,I prefer Slack because...,It's been used for years and has all the answers I need from my previous peers,,,,
1/29/2026 13:59,1/29/2026 13:59,IP Address,172.226.198.5,100,6,True,1/29/2026 13:59,R_5FyNGhcvAKO5GWG,,,,,40.7126,-74.0066,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
1/30/2026 14:47,1/30/2026 14:51,IP Address,76.226.87.154,100,225,True,1/30/2026 14:51,R_3vEueVgwQYBRQQ1,,,,,37.5742,-122.325,anonymous,EN,Yes,,,7,A few times a week,Yes,,,Yes and it was useful,8,10,,I do miss the fact that the Slack platform had individual channels for each specific class - not just each set of classes. This made it easier to get into the nitty-gritty details of one assignment/concept/topic or another.,,10,,I prefer Slack because...,"As I mentioned above, the individual class channels were pretty great. But, I do like the interface on Inscribe better. Also, to be completely fair, I haven't used Inscribe very much yet - but I certainly will be!",,,,
1/30/2026 16:34,1/30/2026 16:37,IP Address,173.54.30.113,100,167,True,1/30/2026 16:37,R_5kpiULGzNkHDhHH,,,,,40.793,-74.0247,anonymous,EN,Yes,,,2,A few times a week,No,"I wasn't sure how to use it,I was uncomfortable posting a question",,,4,8,,It is empty for the courses that i am currently taking. There is no information to help me figure out what i need to do.,It needs more information. One thing I found very lacking was the amount of instructions for switching over from the non-credit classes to the credit versions. ,,,I prefer Slack because...,It feels easier to use and keeps us all more connected compared to this new app.,,,,
1/30/2026 18:23,1/30/2026 18:26,IP Address,174.174.28.157,100,212,True,1/30/2026 18:26,R_6lt8bCAGN4u3KhP,,,,,45.5411,-122.5605,anonymous,EN,Yes,,,7,A few times a week,No,I didn't need help,,,10,10,,"As a Coursera plus user, I have to log out and back in through my CU Coursera account to access inscribe. It would be helpful if both methods gave direct access to it. ",,8,,I prefer InScribe because...,,I think long-term it will create a more navigable approach,,,
1/31/2026 9:12,1/31/2026 9:13,IP Address,49.229.165.40,100,82,True,1/31/2026 9:13,R_9KTxSO7UdKH7i9z,,,,,13.7101,100.4543,anonymous,EN,Yes,,,10,A few times a week,Yes,,,Yes and it was useful,10,10,,-,-,10,,,,,,,
2/1/2026 0:50,2/1/2026 0:52,IP Address,23.242.197.115,100,120,True,2/1/2026 0:52,R_1zLXvulVNufkDaC,,,,,34.1994,-118.5972,anonymous,EN,No,I didn't know it was there,,,,,,,,,,,,,,,I prefer Slack because...,I already had it,,,,
2/1/2026 10:53,2/1/2026 10:54,IP Address,49.229.212.156,100,48,True,2/1/2026 10:54,R_9rrw9IVCeQzc4ff,,,,,13.7618,100.5324,anonymous,EN,Yes,,,10,A few times a week,Yes,,,No,1,4,,-,-,9,,,,,,,
2/2/2026 6:10,2/2/2026 6:12,IP Address,140.177.179.19,100,82,True,2/2/2026 6:12,R_5nP02gdzVuNb71W,,,,,40.772,-89.6572,anonymous,EN,Yes,,,4,Hardly ever,No,I didn't need help,,,8,9,,,,,,,,,,,
2/2/2026 18:34,2/2/2026 18:34,IP Address,73.210.10.241,100,47,True,2/2/2026 18:34,R_117UlN0lpGwEfL3,,,,,41.9704,-87.7036,anonymous,EN,No,Other,Forgot,,,,,,,,,,,,1,,I prefer Slack because...,Familiar with Slack ,,,,
2/2/2026 21:34,2/2/2026 21:35,IP Address,76.224.23.233,100,11,True,2/2/2026 21:35,R_5I2x30K0BV3FmxP,,,,,37.5483,-121.9886,anonymous,EN,,,,,,,,,,,,,,,,,I prefer Slack because...,,,,,
2/3/2026 12:57,2/3/2026 12:58,IP Address,80.79.145.148,100,109,True,2/3/2026 12:58,R_8dFNYHBDRjsvZgT,,,,,33.8333,35.8333,anonymous,EN,No,I didn't know it was there,,,,,,,,,,,i don t know,no,4,,,,,,,
2/5/2026 12:40,2/5/2026 12:43,IP Address,50.144.207.202,100,163,True,2/5/2026 12:43,R_7isWrDpjOnmpVOg,,,,,39.3737,-76.9678,anonymous,EN,No,I was not comfortable using it,,,,,,,,,,,Some kind of interaction,"Go back to Slack, please...",1,,I prefer Slack because...,"The resources and conversations of past students were very helpful in troubleshooting my assignments. No such thing happened with InScribe - it was clunky to use and frankly no one uses it, so breaking the ice is hard.",,,,
2/5/2026 12:47,2/5/2026 12:49,IP Address,99.34.183.122,100,128,True,2/5/2026 12:49,R_5JmZhpr9R3pT7BH,,,,,29.745,-95.7326,anonymous,EN,Yes,,,10,Once a day,No,I didn't need help,,,9,9,,,,9,,,,,,,
2/5/2026 12:49,2/5/2026 12:50,IP Address,99.34.183.122,100,57,True,2/5/2026 12:50,R_7zORtlHoNubZhVY,,,,,29.745,-95.7326,anonymous,EN,Yes,,,1,Once a day,No,I didn't need help,,,9,9,,,,9,,,,,,,
2/5/2026 23:29,2/5/2026 23:34,IP Address,73.42.166.87,100,274,True,2/5/2026 23:34,R_1n259Y5QffBQXm9,,,,,47.6711,-122.1253,anonymous,EN,Yes,,,9,A few times a week,Yes,,,Yes and it was useful,10,10,,I think I need to use it more to give any feedback.,,10,,I prefer Slack because...,"It's more interactive, gives filling of live communication. InScribe more like a forum",,,,
2/6/2026 21:32,2/6/2026 21:33,IP Address,47.162.126.54,100,89,True,2/6/2026 21:34,R_3yW0k8bTnRJqrPH,,,,,33.0032,-96.5434,anonymous,EN,Yes,,,7,A couple of times per month,No,I didn't need help,,,6,9,,,,,,I prefer Slack because...,it's more familiar to me than InScribe,,,,
2/7/2026 14:30,2/7/2026 14:31,IP Address,24.86.204.118,100,41,True,2/7/2026 14:31,R_7BqKMDtaoXm1SA9,,,,,49.2825,-123.1291,anonymous,EN,Yes,,,,Hardly ever,No,I didn't need help,,,,,,,,,,,,,,,
2/8/2026 0:13,2/8/2026 0:14,IP Address,73.137.200.122,100,57,True,2/8/2026 0:14,R_6rUtVgKQvOL3jhD,,,,,33.8231,-84.3258,anonymous,EN,Yes,,,10,Once a day,No,I didn't need help,,,10,10,,N/A,N/A,10,,I prefer Slack because...,I love slack! :0,,,,
2/8/2026 18:04,2/8/2026 18:20,IP Address,68.147.181.132,100,950,True,2/8/2026 18:20,R_59uQdY1Ya72IMPn,,,,,50.9909,-113.9632,anonymous,EN,Yes,,,2,Hardly ever,No,Other,"I don't think this forum is frequently visited by most students. If I were to ask a question, I don't think it would be responded to in a timely fashion. ",,5,8,,Perhaps if it was more populated/active it would be more useful? ,I would recommend switching back to slack. ,2,,I prefer Slack because...,"It's active, I can have group or small discussions with other students. For example there was a #Canada channel where I could talk to other Canadian students and share experiences. Inscribe feels... corporate.",,,,
2/9/2026 11:29,2/9/2026 11:32,IP Address,136.29.125.85,100,160,True,2/9/2026 11:32,R_6O6T5vugGN9k8ZT,,,,,39.7277,-104.9815,anonymous,EN,Yes,,,4,A few times a week,No,"I didn't need help,Other",I think the setup/organization is less intuitive than slack. In slack we had separate channels for each course making the organization a lot more straightforward ,,10,10,,"scrap the organization by ""topic"" and go back to organizing by course.",,5,,I prefer Slack because...,Organization by course rather than topic,,,,
2/9/2026 12:42,2/9/2026 12:57,IP Address,96.5.198.150,100,898,True,2/9/2026 12:57,R_1M3S9H0NcdQCqtP,,,,,29.4698,-98.5357,anonymous,EN,Yes,,,4,A couple of times per month,No,"I wasn't sure how to use it,I was uncomfortable posting a question",,,5,8,,If anonymous post option is available,Hard to change from Slack to InScribe. The reason for the change was not communicated well.,3,,I prefer Slack because...,All my other communities live in Slack,,,,
2/9/2026 17:03,2/9/2026 17:05,IP Address,68.100.66.71,100,105,True,2/9/2026 17:05,R_11g9uyrH1Ddezsr,,,,,38.696,-77.1995,anonymous,EN,Yes,,,8,Hardly ever,No,"I didn't need help,I didn't have time",,,9,10,,,,10,,,,,,,
2/9/2026 17:53,2/9/2026 17:54,IP Address,99.103.66.147,100,85,True,2/9/2026 17:54,R_62XwhYJuDThrgn7,,,,,30.6411,-97.7511,anonymous,EN,Yes,,,7,A few times a week,No,Other,,,7,9,,,,10,,,,,,,
2/9/2026 20:18,2/9/2026 20:40,IP Address,104.220.67.168,100,1308,True,2/9/2026 20:40,R_3Ok6qkvvhgzumis,,,,,38.8897,-121.2873,anonymous,EN,Yes,,,6,A few times a week,No,I didn't need help,,,6,10,,i am new i just started using it few weeks ago..,not now .. i can give suggestion later ,6,,I prefer InScribe because...,,new is always better ...,,,
2/10/2026 6:52,2/10/2026 6:53,IP Address,73.87.207.188,100,41,True,2/10/2026 6:53,R_5ykNRPRAciXasRM,,,,,38.8078,-77.0523,anonymous,EN,No,I didn't need help,,,,,,,,,,,N/A,N/A,6,,I prefer Slack because...,I know it better,,,,
2/10/2026 22:03,2/10/2026 22:03,IP Address,24.111.162.151,100,1,True,2/10/2026 22:03,R_5N9umq01Q85eYpP,,,,,46.8796,-96.7814,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
2/11/2026 13:13,2/11/2026 13:14,IP Address,198.163.185.86,100,90,True,2/11/2026 13:14,R_5MNc9m4OOPc2CaC,,,,,60.4878,-151.0583,anonymous,EN,Yes,,,5,Once a week,No,Other,have not had opportunity,,8,9,,,,,,,,,,,
2/11/2026 14:42,2/11/2026 14:43,IP Address,165.85.221.89,100,104,True,2/11/2026 14:43,R_723BUsQqvozm5KD,,,,,39.0469,-77.4903,anonymous,EN,Yes,,,10,Multiple times per day,No,I didn't know it was there,,,8,8,,,,10,,I prefer InScribe because...,,,,,
2/11/2026 15:32,2/11/2026 15:34,IP Address,129.210.115.107,100,92,True,2/11/2026 15:34,R_1uJMsWMoYimV7Pb,,,,,37.3476,-121.9338,anonymous,EN,Yes,,,5,Once a month,No,I didn't need help,,,7,10,,n/a,n/a,7,,I prefer Slack because...,the interface is user-friendly and I feel there are more to do with Slack,,,,
2/11/2026 15:39,2/11/2026 15:41,IP Address,200.32.244.18,100,79,True,2/11/2026 15:41,R_1Y9UhBZqvHmldJP,,,,,17.5018,-88.1956,anonymous,EN,Yes,,,4,Once a week,Yes,,,Yes and it was useful,3,6,,,,,,I prefer Slack because...,"The channels were already filled with questions and answers , making troubleshooting easier.",,,,
2/11/2026 18:11,2/11/2026 18:11,IP Address,47.234.128.68,100,39,True,2/11/2026 18:11,R_61oWeFrsQy0TPh8,,,,,31.9592,-95.2673,anonymous,EN,No,"I wasn't sure how to use it,I didn't have time",,,,,,,,,,,,,,,,,,,,
2/11/2026 18:43,2/11/2026 18:44,IP Address,47.234.128.68,100,23,True,2/11/2026 18:44,R_3PvQOAti5QdZLqF,,,,,31.9592,-95.2673,anonymous,EN,No,I didn't have time,,,,,,,,,,,,,,,,,,,,
2/12/2026 12:19,2/12/2026 12:22,IP Address,66.114.143.121,100,192,True,2/12/2026 12:22,R_1EdwkzqbeH6cBi1,,,,,34.3046,-118.6844,anonymous,EN,Yes,,,3,Once a week,No,Other,"There didn't seem to be anyone using it, and channels for my classes were completely empty, so I didn't think it would help.",,9,8,,"Honestly, the Slack was WAY better, and it had lots of information from previous years that was very helpful. InScribe seems less intuitive to use, and doesn't seem to be getting the same adoption that Slack had. THat said, one way to improve InScribe would be to import all the archived information from the slack channels for each DTSA class - that stuff was incredibly helpful to me in previous semesters.","I'd prefer to return to Slack, but if that's not possible see above comment.",3,,I prefer Slack because...,"Lots of institutional knowledge, more activity, seemed less formal",,,,
2/12/2026 12:43,2/12/2026 12:44,IP Address,18.88.35.191,100,52,True,2/12/2026 12:44,R_6lVWVsouGwC6TWn,,,,,32.7797,-96.8022,anonymous,EN,No,I didn't know it was there,,,,,,,,,,,,,,,,,,,,
2/12/2026 16:32,2/12/2026 16:35,IP Address,136.226.68.201,100,152,True,2/12/2026 16:35,R_6331lViIwR01KE8,,,,,38.9609,-77.3429,anonymous,EN,Yes,,,3,Once a day,No,I didn't need help,,,10,8,,"I think you need way more user adoption. Everyone adopted the slack community, which is what made it valuable. This doesn't seem as useful or helpful because slack had resources that were documented over the years.",Maybe somehow incorporate the information from the slack into inscribe?,5,,I prefer Slack because...,People used it and there was a lot of information from over the years.,,,,
2/12/2026 16:38,2/12/2026 16:40,IP Address,172.226.186.2,100,134,True,2/12/2026 16:40,R_73T7M8wxTK4T2et,,,,,34.0544,-118.244,anonymous,EN,Yes,,,8,Once a week,No,"I didn't need help,I didn't have time",,,7,7,,,,7,,,,,,,
2/12/2026 18:00,2/12/2026 18:04,IP Address,202.73.1.111,100,241,True,2/12/2026 18:04,R_9mCnvmlzfbYaJrh,,,,,22.2578,114.1657,anonymous,EN,Yes,,,8,Once a day,Yes,,,Yes and it was useful,9,9,,"Channel per course instead of per specialization, the the Slack used to.",,10,,I prefer Slack because...,"Kind of tie between the two, but I don't know Slack feel more freedom.  It just a feeling I don't know.  The Web version of Inscribe is better, it code-block and Math formula render better. ",,,,
2/13/2026 16:17,2/13/2026 16:21,IP Address,76.21.102.247,100,244,True,2/13/2026 16:21,R_7axbnzuoVYuKupa,,,,,37.7562,-121.77,anonymous,EN,Yes,,,6,Once a day,No,Other,Just recently joined ( a few days back). ,,3,7,,,,6,,I prefer Slack because...,"As of now, due to familiarity. But as mentioned very new to this InScribe to give valuable feedback",,,,
2/14/2026 8:23,2/14/2026 8:27,IP Address,204.14.36.174,100,233,True,2/14/2026 8:27,R_3hR0YCt6fPDo192,,,,,41.8719,-87.6589,anonymous,EN,Yes,,,6,Once a week,No,"I didn't have time,Other",The question I needed to ask was already answered,,6,6,,More focused groupings will help reduce the feeling of asking a narrow question about a course in such a global context. ,,7,,I prefer InScribe because...,,"Slack was too specific. After finishing a course, I would never see future students question that I might have been ablet to help with having completed the course.",,,
2/14/2026 11:27,2/14/2026 11:28,IP Address,146.23.20.97,100,33,True,2/14/2026 11:28,R_1u3lkOO8rFq6mtz,,,,,32.7797,-96.8022,anonymous,EN,No,I didn't know it was there,,,,,,,,,,,,,,,,,,,,
2/14/2026 12:20,2/14/2026 12:20,IP Address,146.23.20.97,100,21,True,2/14/2026 12:20,R_3I51EAOc20cu3C1,,,,,32.7797,-96.8022,anonymous,EN,No,I didn't know it was there,,,,,,,,,,,,,,,,,,,,
2/15/2026 18:30,2/15/2026 18:31,IP Address,73.160.185.177,100,56,True,2/15/2026 18:31,R_5x984jVF0Tmgxzj,,,,,40.4322,-74.1112,anonymous,EN,Yes,,,7,A couple of times per month,No,I didn't need help,,,10,10,,Its great no need for improvement,no,10,,I prefer InScribe because...,,Better for scholastics,,,
2/16/2026 6:41,2/16/2026 6:43,IP Address,138.19.239.84,100,99,True,2/16/2026 6:43,R_41iM3GOv9enma61,,,,,22.3346,114.2536,anonymous,EN,Yes,,,6,Once a week,No,I was uncomfortable posting a question,,,5,7,,,,7,,I prefer InScribe because...,,,,,
2/16/2026 10:51,2/16/2026 10:51,IP Address,70.111.89.86,100,18,True,2/16/2026 10:51,R_7dRnzPrMJWiDmOp,,,,,40.9124,-74.4113,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,
2/16/2026 16:39,2/16/2026 16:39,IP Address,172.59.98.42,100,34,True,2/16/2026 16:39,R_1pGyzYOmfoJQ3fy,,,,,43.0566,-87.9347,anonymous,EN,No,I didn't have time,,,,,,,,,,,,,,,,,,,,
2/16/2026 19:12,2/16/2026 19:13,IP Address,67.164.52.83,100,14,True,2/16/2026 19:13,R_1GrntRR1MHmPvn4,,,,,37.5428,-122.2971,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,
